num,raw_text
16,"A method and apparatus for sharing information in a video coding system are disclosed. Embodiments according to the present invention use an information sharing flag to determine whether to share in-loop filter information in the picture level. The information sharing flag may be incorporated in the sequence level, the picture level or the slice level to indicate whether information sharing is enabled. Multiple information sharing flags may also be used to adaptively control information sharing. Furthermore, method and apparatus of using multiple Adaptation Parameter Sets (APSs) for information sharing of in-loop filters are disclosed. APS identifiers of in-loop filters may be incorporated in the slice header to allow each of the in-loop filters select respective filter information from the multiple APSs. A flag is incorporated in SPS to indicate whether multiple APS or single APS is used. Various exemplary syntax designs are disclosed to illustrate information sharing."
17,"An apparatus and method for sample adaptive offset to restore intensity shift of processed video data are described. In a video coding system, the video data are subject to various processing such as prediction, transformation, quantization, deblocking, and adaptive loop filtering. Along the processing path in the video coding system, certain characteristics of the processed video data may be altered from the original video data due to the operations applied to video data. For example, the mean value of the processed video may be shifted. Therefore, the pixel intensity shift has to be carefully compensated or restored to alleviate the artifacts. Accordingly a sample adaptive offset scheme is disclosed that can take into consideration of the dynamic characteristics within a frame using a region partition scheme. Furthermore, the sample adaptive offset scheme also supports multiple SAO types that can be tailored to the characteristics of processed video data and achieve better quality."
18,"In a block-based motion compensated system, coding noises may arise due to lossy operations. Adaptive loop filter (ALF) is a technique used to improve the quality. A pixel adaptive (PA) ALF method was developed that uses the Sum-modified Laplacian Measure (SLM) to classify pixels and applies a respective ALF filter to each pixel according to the SLM. While the PA ALF achieves better performance over a conventional single filter (SF) based ALF, the PA ALF causes higher complexity and consumes more power due to the high complexity and per-pixel filter switching. Accordingly region based ALF scheme is disclosed which allows adaptive filter selection on a region by region basis and does not require per-pixel filter switching. In one embodiment according to the present invention, a picture is divided into M×N regions. The region based ALF also allows region merging for the M×N regions to improve performance. In another aspect of the present invention, the optimal ALF design also takes into consideration of the system complexity by using rate-distortion-complexity optimization (RDCO). The RDCO technique is also applied to sample adaptive offset (SAO) design."
19,"In some examples, a method of decoding video data may comprise reconstructing a block of video data comprising chroma samples, applying an adaptive loop filter to the chroma samples, and applying a cross-component adaptive loop filter to the chroma samples. Applying the cross-component adaptive loop filter may include determining an offset, and applying the offset to a particular chroma sample being filtered, wherein the offset is a function of a difference between a collocated luma sample that is collocated with the particular chroma sample being filtered and a plurality of neighboring luma samples that are spatial neighbors to the collocated luma sample."
20,"A method and apparatus of video coding incorporating Deep Neural Network are disclosed. A target signal is processed using DNN (Deep Neural Network), where the target signal provided to DNN input corresponds to the reconstructed residual, output from the prediction process, the reconstruction process, one or more filtering processes, or a combination of them. The output data from DNN output is provided for the encoding process or the decoding process. The DNN can be used to restore pixel values of the target signal or to predict a sign of one or more residual pixels between the target signal and an original signal. An absolute value of one or more residual pixels can be signalled in the video bitstream and used with the sign to reduce residual error of the target signal."
21,"Provided are systems and methods for processing 360-degree video data by obtaining at least one 360-degree rectangular formatted projected picture; detecting a projection boundary in the at least one 360-degree rectangular formatted projected picture; disabling at least one of an in-loop filtering, an intra-prediction, or an inter-prediction, based on detecting the at least one 360-degree rectangular formatted projected picture comprises the projection boundary; and generating an encoded video bitstream."
22,"This invention relates to ethylene polymers obtained using a catalyst system comprising fluorided silica, alkylalumoxane activator and at least two metallocene catalyst compounds (a bridged monocyclopentadienyl group 4 transition metal compound and a biscyclopentadientyl group 4 transition metal compound), where the fluorided support has not been calcined at a temperature of 400° C. or more, and is preferably produced using a wet mixing method, such as an aqueous method. The ethylene polymers have: 1) at least 50 mol % ethylene; 2) a reversed comonomer index, mol %, (RCI,m) of 85 or more; 3) a Comonomer Distribution Ratio-2 (CDR-2,m) of the percent comonomer at the z average molecular weight divided by the percent comonomer at the weight average molecular weight plus the number average molecular weight divided by 2 ([% comonomer at Mz]/[% comonomer at ((Mw+Mn)/2)] as determined by GPC of 2.3 or more; and 4) a density of 0.91 g/cc or more."
23,"A video data processing method comprises receiving input data associated with a current picture, determining a size for a current coding tree unit (CTU) or a current coding unit (CU) in the current CTU, and if the size, a width, or a height of the current CTU or CU is greater than a threshold, the encoder or decoder splits the current CTU or CU into multiple blocks until each block is not greater than the threshold. The current CTU or CU is processed for prediction or compensation and transform or inverse transform. The current CTU is processed according to CTU-level syntaxes signaled in a video bitstream. The encoder or decoder encodes or decodes the current CTU. The threshold corresponds to a maximum supported transform unit (TU) size for the encoder or decoder."
24,"A video encoding method and apparatus, and a video decoding method and apparatus for generating a reconstructed image having a minimized error between an original image and the reconstructed image. The video decoding method accompanied by a sample adaptive offset (SAO) adjustment, the method includes: obtaining 5 slice SAO parameters with respect to a current slice from a slice header of a received bitstream; obtaining luma SAO use information for a luma component of the current slice and chroma SAO use information for chroma components thereof from among the slice SAO parameters; determining whether to perform a SAO operation on the luma component of 10 the current slice based on the obtained luma SAO use information; and equally determining whether to perform the SAO adjustment on a first chroma component and a second chroma component of the current slice based on the obtained chroma SAO use information."
25,"A method for sample adaptive offset (SAO) filtering and SAO parameter signaling in a video encoder is provided that includes determining SAO parameters for largest coding units (LCUs) of a reconstructed picture, wherein the SAO parameters include an indicator of an SAO filter type and a plurality of SAO offsets, applying SAO filtering to the reconstructed picture according to the SAO parameters, and entropy encoding LCU specific SAO information for each LCU of the reconstructed picture in an encoded video bit stream, wherein the entropy encoded LCU specific SAO information for the LCUs is interleaved with entropy encoded data for the LCUs in the encoded video bit stream. Determining SAO parameters may include determining the LCU specific SAO information to be entropy encoded for each LCU according to an SAO prediction protocol."
26,"Techniques are described for palette-based coding. In palette-based coding, a video coder may form a palette as a table of colors for representing video data of a given block. Palette-based coding may be useful for coding blocks of video data having a relatively small number of colors. Rather than coding actual pixel values or their residuals for the given block, the video coder may code index values for one or more of the pixels. The index values map the pixels to entries in the palette representing the colors of the pixels. Techniques are described for determining whether to disable filtering, such as deblocking filtering or sample adaptive offset (SAO) filtering, of palette coded blocks at a video encoder or a video decoder. Techniques are also described for modify a palette size and palette entries of a palette at the video encoder based on rate-distortion costs."
27,"A method and apparatus for sample adaptive offset (SAO) compensation of reconstructed video data are disclosed. In one embodiment, the relation between the current pixel and said one or more neighboring pixels is stored so that the SAO compensated current pixel can replace the current pixel without buffering the to-be-processed pixels for classification. The SAO process may be performed on a region by region basis to adapt to the local characteristics of the picture."
28,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
29,"For sample adaptive offset, classification may be used to classify the pixels into multiple categories and pixels in each category are offset compensated using an offset value for the category. The classification may be based on values of the current pixel and its neighboring pixels before SAO compensation. Therefore, the SAO compensated pixel cannot be written back to the current pixel location until the category for all pixels are determined. An embodiment of the present invention stores the relation between the current pixel and said one or more neighboring pixels so that the SAO compensated current pixel can replace the current pixel without buffering the to-be-processed pixels for classification. The SAO process may be performed on a region by region basis to adapt to the local characteristics of the picture. Rate-distortion optimization (RDO) is often used to guide the mode decision, such as region splitting/region merging decision. Computations associated with the RDO process usually are very computational intensive. Accordingly, distortion reduction estimation is developed which can substantially reduce the required computation associated with RDO."
30,"A Flexible Band Offset (FBO) apparatus and method of performing Sample Adaptive Offset (SAO) filtering within encoders and decoders, such as according to the High Efficiency Video Coding (HEVC) standard, and similarly configured coding devices. The number of Band Offset (BO) modes and the number of necessary offsets is reduced. The invention beneficially provides simpler coding, reduces temporary buffer size requirements, and can yield a small performance gain over existing SAO techniques of HEVC test model HM 5."
31,"A wall-flow filter comprises a catalyst for converting oxides of nitrogen in the presence of a reducing agent, which wall-flow filter comprising an extruded solid body comprising: 10-95% by weight of at least one binder/matrix component; 5-90% by weight of a zeolitic molecular sieve, a non-zeolitic molecular sieve or a mixture of any two or more thereof; and 0-80% by weight optionally stabilized ceria, which catalyst comprising at least one metal, wherein: the at least one metal is present throughout the extruded solid body alone or in combination with: is also present in a higher concentration at a surface of the extruded solid body; is also carried in one or more coating layer(s) on a surface of the extruded solid body; or both."
32,"A method and apparatus for non-invasively determining the blood oxygen saturation level within a subject's tissue is provided that utilizes a near infrared spectrophotometric (NIRS) sensor capable of transmitting a light signal into the tissue of a subject and sensing the light signal once it has passed through the tissue via transmittance or reflectance. The method includes the step of determining attenuation of the light signal as the sum of: (i) attenuation attributable to deoxyhemoglobin; (ii) attenuation attributable to oxyhemoglobin; and (iii) attenuation attributable to light scattering within the subject's tissue. The present method also makes it possible to account for attenuation attributable to fixed or constant light absorbing biological tissue components, and attenuation attributable to variable characteristics of the sensor. By determining differential attenuation as a function of wavelength, the attenuation attributable to tissue light scattering characteristics, fixed light absorbing components, and measuring apparatus characteristics are mathematically cancelled out or minimized relative to the attenuation attributable to deoxyhemoglobin, and attenuation attributable to oxyhemoglobin."
33,"Mild hydrocracking is accomplished with a catalyst containing an intermediate pore molecular sieve, such as silicalite or a ZSM-5 type zeolite."
34,"A method of video processing includes determining, for a conversion of a block of a video picture in a video and a bitstream representation of the video, gradients of a subset of samples in a region for a classification operation in a filtering process. The region has a dimension of M×N and the block has a dimension of K×L, M, N, K, L being positive integers. The block is located within the region. The method also includes performing the conversion based on the determining."
35,"There is provided a method of decoding video data from a bitstream, the bitstream comprising video data corresponding to one or more slices. The bitstream comprises a picture header comprising syntax elements to be used when decoding one or more slices, and a slice header comprising syntax elements to be used when decoding a slice. The decoding comprises in a case where information which can be signalled in the picture header or in the slice header is signalled in the picture header, a picture header is to be signalled in a slice header, permitting parsing of information which may otherwise be signalled in a slice header and a picture header, in only one of the slice header or picture header; imposing that the picture header is not in the slice header, and decoding said bitstream using said syntax elements."
36,"A method comprises: receiving, by a video decoder, a video bitstream comprising an RPL flag, wherein the RPL flag equal to a first value specifies that RPL signaling is present in a PH, and wherein the RPL flag equal to a second value specifies that RPL signaling is not present in the PH and may be present in slice headers; and decoding, by the video decoder using the RPL flag, a coded picture to obtain a decoded picture. A comprises: receiving, by a video decoder, a video bitstream comprising an SAO flag, wherein the SAO flag specifies that SAO information may be present or is not present in a PH or specifies that the SAO information may be present or is not present in slice headers; and decoding, by the video decoder using the SAO flag, a coded picture to obtain a decoded picture."
37,"An example device for filtering decoded video data includes one or more processors configured to execute a neural network filtering unit to: receive data from one or more other units of the device, the data from the one or more other units of the device being different than data for a decoded picture of video data, and wherein to receive the data from the one or more other units of the device, the one or more processors are configured to execute the neural network filtering unit to receive boundary strength data from a deblocking unit of the device; determine one or more neural network models to be used to filter a portion of the decoded picture; and filter the portion of the decoded picture using the one or more neural network models and the data from the one or more other units of the device, including the boundary strength data."
38,"In some examples, a method of decoding video data may comprise reconstructing a block of video data comprising chroma samples, applying an adaptive loop filter to the chroma samples, and applying a cross-component adaptive loop filter to the chroma samples. Applying the cross-component adaptive loop filter may include determining an offset, and applying the offset to a particular chroma sample being filtered, wherein the offset is a function of a difference between a collocated luma sample that is collocated with the particular chroma sample being filtered and a plurality of neighboring luma samples that are spatial neighbors to the collocated luma sample."
39,"The invention provides compositions and systems that allow the sensitive determination of the level of creatinine in a particular solution. Through the optimisation of enzymatic methods to detect creatinine the real-time determination of creatinine levels and creatinine clearance rates are also provided, allowing the real-time monitoring of kidney function. This is considered to be useful both in the monitoring of live subjects, and in the monitoring of isolated organs, such as a kidney, intended for transplantation."
40,"A video data processing method comprises receiving input data associated with a current picture, determining a size for a current coding tree unit (CTU) or a current coding unit (CU) in the current CTU, and if the size, a width, or a height of the current CTU or CU is greater than a threshold, the encoder or decoder splits the current CTU or CU into multiple blocks until each block is not greater than the threshold. The current CTU or CU is processed for prediction or compensation and transform or inverse transform. The current CTU is processed according to CTU-level syntaxes signaled in a video bitstream. The encoder or decoder encodes or decodes the current CTU. The threshold corresponds to a maximum supported transform unit (TU) size for the encoder or decoder."
41,"Provided are systems and methods for processing 360-degree video data by obtaining at least one 360-degree rectangular formatted projected picture; detecting a projection boundary in the at least one 360-degree rectangular formatted projected picture; disabling at least one of an in-loop filtering, an intra-prediction, or an inter-prediction, based on detecting the at least one 360-degree rectangular formatted projected picture comprises the projection boundary; and generating an encoded video bitstream."
42,"A method and apparatus of video coding incorporating Deep Neural Network are disclosed. A target signal is processed using DNN (Deep Neural Network), where the target signal provided to DNN input corresponds to the reconstructed residual, output from the prediction process, the reconstruction process, one or more filtering processes, or a combination of them. The output data from DNN output is provided for the encoding process or the decoding process. The DNN can be used to restore pixel values of the target signal or to predict a sign of one or more residual pixels between the target signal and an original signal. An absolute value of one or more residual pixels can be signalled in the video bitstream and used with the sign to reduce residual error of the target signal."
43,"This invention relates to ethylene polymers obtained using a catalyst system comprising fluorided silica, alkylalumoxane activator and at least two metallocene catalyst compounds (a bridged monocyclopentadienyl group 4 transition metal compound and a biscyclopentadientyl group 4 transition metal compound), where the fluorided support has not been calcined at a temperature of 400° C. or more, and is preferably produced using a wet mixing method, such as an aqueous method. The ethylene polymers have: 1) at least 50 mol % ethylene; 2) a reversed comonomer index, mol %, (RCI,m) of 85 or more; 3) a Comonomer Distribution Ratio-2 (CDR-2,m) of the percent comonomer at the z average molecular weight divided by the percent comonomer at the weight average molecular weight plus the number average molecular weight divided by 2 ([% comonomer at Mz]/[% comonomer at ((Mw+Mn)/2)] as determined by GPC of 2.3 or more; and 4) a density of 0.91 g/cc or more."
44,"A method for signaling sample adaptive offset (SAO) band offset syntax elements in a video encoder is provided that includes receiving a plurality of band offset syntax elements, entropy encoding an absolute value of a magnitude of each band offset syntax element in a compressed video bit stream, and entropy encoding a sign of each non-zero band offset syntax element in the compressed video bit stream following the absolute values of the magnitudes."
45,"Techniques are described for palette-based coding. In palette-based coding, a video coder may form a palette as a table of colors for representing video data of a given block. Palette-based coding may be useful for coding blocks of video data having a relatively small number of colors. Rather than coding actual pixel values or their residuals for the given block, the video coder may code index values for one or more of the pixels. The index values map the pixels to entries in the palette representing the colors of the pixels. Techniques are described for determining whether to disable filtering, such as deblocking filtering or sample adaptive offset (SAO) filtering, of palette coded blocks at a video encoder or a video decoder. Techniques are also described for modify a palette size and palette entries of a palette at the video encoder based on rate-distortion costs."
46,"A video encoding method and apparatus, and a video decoding method and apparatus for generating a reconstructed image having a minimized error between an original image and the reconstructed image. The video decoding method accompanied by a sample adaptive offset (SAO) adjustment, the method includes: obtaining 5 slice SAO parameters with respect to a current slice from a slice header of a received bitstream; obtaining luma SAO use information for a luma component of the current slice and chroma SAO use information for chroma components thereof from among the slice SAO parameters; determining whether to perform a SAO operation on the luma component of 10 the current slice based on the obtained luma SAO use information; and equally determining whether to perform the SAO adjustment on a first chroma component and a second chroma component of the current slice based on the obtained chroma SAO use information."
47,"A method and apparatus for sample adaptive offset (SAO) compensation of reconstructed video data are disclosed. In one embodiment, the relation between the current pixel and said one or more neighboring pixels is stored so that the SAO compensated current pixel can replace the current pixel without buffering the to-be-processed pixels for classification. The SAO process may be performed on a region by region basis to adapt to the local characteristics of the picture."
48,"A method and apparatus of context-based adaptive binary arithmetic encoding/decoding for syntax elements of one or more blocks are disclosed. According to one embodiment of the present invention, the binarization results of the x and y positions of the last significant coefficient of a transform unit are reordered by collecting the bypass bins together. According to another embodiment of the present invention, binarization results of syntax elements from two or more of four Intra N×N prediction units, including prev_intra_luma_pred_flag, rem_intra_luma_pred_mode, and mpm_idx are reordered by collecting the bypass bins together. In yet another embodiment according to the present invention, the binarization results of other syntax elements are also reordered by collecting bypass bins together. Furthermore, the above reordering of binarization results may be used for binarization results corresponding to a block and its neighboring blocks."
49,"A Flexible Band Offset (FBO) apparatus and method of performing Sample Adaptive Offset (SAO) filtering within encoders and decoders, such as according to the High Efficiency Video Coding (HEVC) standard, and similarly configured coding devices. The number of Band Offset (BO) modes and the number of necessary offsets is reduced. The invention beneficially provides simpler coding, reduces temporary buffer size requirements, and can yield a small performance gain over existing SAO techniques of HEVC test model HM 5."
50,"A method for sample adaptive offset (SAO) filtering and SAO parameter signaling in a video encoder is provided that includes determining SAO parameters for largest coding units (LCUs) of a reconstructed picture, wherein the SAO parameters include an indicator of an SAO filter type and a plurality of SAO offsets, applying SAO filtering to the reconstructed picture according to the SAO parameters, and entropy encoding LCU specific SAO information for each LCU of the reconstructed picture in an encoded video bit stream, wherein the entropy encoded LCU specific SAO information for the LCUs is interleaved with entropy encoded data for the LCUs in the encoded video bit stream. Determining SAO parameters may include determining the LCU specific SAO information to be entropy encoded for each LCU according to an SAO prediction protocol."
51,"For sample adaptive offset, classification may be used to classify the pixels into multiple categories and pixels in each category are offset compensated using an offset value for the category. The classification may be based on values of the current pixel and its neighboring pixels before SAO compensation. Therefore, the SAO compensated pixel cannot be written back to the current pixel location until the category for all pixels are determined. An embodiment of the present invention stores the relation between the current pixel and said one or more neighboring pixels so that the SAO compensated current pixel can replace the current pixel without buffering the to-be-processed pixels for classification. The SAO process may be performed on a region by region basis to adapt to the local characteristics of the picture. Rate-distortion optimization (RDO) is often used to guide the mode decision, such as region splitting/region merging decision. Computations associated with the RDO process usually are very computational intensive. Accordingly, distortion reduction estimation is developed which can substantially reduce the required computation associated with RDO."
52,"A method and apparatus for processing in-loop reconstructed video using an in-loop filter is disclosed. In the recent HEVC development, adaptive loop filtering (ALF) is being adopted to process in-loop reconstruction video data, where ALF can be selectively turned ON or OFF for each block in a frame or a slice. An advanced ALF is disclosed later that allows a choice of multiple filter sets that can be applied to the reconstructed video data adaptively. In the present disclosure, pixels of the in-loop reconstructed video data are divided into a plurality of to-be-filtered regions, and an in-loop filter from a filter set is determined for each to-be-filtered region based on a rate-distortion optimization procedure. According to one embodiment of the present invention, computation of cost function associated with the rate-distortion optimization procedure is related to correlation values associated with original video data and the in-loop reconstructed video data. Furthermore, the correlation values can be shared by the multiple candidate filters during the rate-distortion optimization procedure for said each to-be-filtered region. In another embodiment, the correlation values can be shared by multiple candidate to-be-filtered regions of an area of the in-loop reconstructed video data during the rate-distortion optimization procedure for the area of the in-loop reconstructed video data."
53,"An example device for decoding video data includes one or more processors implemented in circuitry and configured to: decode a coding tree unit (CTU) of video data, the CTU including a luminance (luma) block and a chrominance (chroma) block, to produce a decoded luma block and a decoded chroma block; determine that a chroma sample of the decoded chroma block is on a first side of an adaptive loop filter (ALF) virtual boundary and that a co-located luma sample of the decoded luma block is on a second side of the ALF virtual boundary, the co-located luma sample being co-located with the chroma sample, the first side being different than the second side; and in response to determining that the chroma sample is on the first side and the luma sample is on the second side, disable cross-component adaptive loop filtering (CC-ALF) for the chroma sample."
54,"Systems, methods, and instrumentalities may be provided for discounting reconstructed samples and/or coding information from spatial neighbors across face discontinuities. Whether a current block is located at a face discontinuity may be determined. The face discontinuity may be a face boundary between two or more adjoining blocks that are not spherical neighbors. The coding availability of a neighboring block of the current block may be determined, e.g., based on whether the neighboring block is on the same side of the face discontinuity as the current block. For example, the neighboring block may be determined to be available for decoding the current block if it is on the same side of the face discontinuity as the current block, and unavailable if it Is not on the same side of the face discontinuity. The neighboring block may be a spatial neighboring block or a temporal neighboring block."
55,"Methods and apparatus of coding a video sequence, wherein pictures from the video sequence contain one or more discontinuous edges are disclosed. The loop filtering process associated with the loop filter is then applied to the current reconstructed pixel to generate a filtered reconstructed pixel, where if the loop filtering process is across a virtual boundary of the current picture, one or more alternative reference pixels are used to replace unexpected reference pixels located in a different side of the virtual boundary from the current reconstructed pixel, and said one or more alternative reference pixels are generated from second reconstructed pixels in a same side of the virtual boundary as the current reconstructed pixel. According to another method, reference pixels are derived from spherical neighbouring reference pixels for the loop filtering process."
56,"In one embodiment, a method receives a video bitstream corresponding to compressed video, wherein Filter Unit (FU) based in-loop filtering is allowed in a reconstruction loop associated with the compressed video. The method then derives reconstructed video from the video bitstream, wherein the reconstructed video is partitioned into FUs and derives a merge flag from the video bitstream for each of the FUs, wherein the merge flag indicates whether said each of the FUs is merged with a neighboring FU. The method further receives a merge index from the video bitstream if the merge flag indicates that said each of the FUs is merged, and receives the filter parameters from the video bitstream if the merge flag indicates that said each of the FUs is not merged. Finally, the method applies the in-loop filtering to said each of the FUs using the filter parameters."
57,"A method of signaling of coding mode including an IntraBC mode (Intra-block copy mode) and inter prediction mode for a picture, wherein the picture is divided into multiple coding units, the method includes receiving input data associated with a current prediction unit in a current picture, and responsive to the IntraBC mode being selected for the current prediction unit: encoding or decoding the current prediction unit using an IntraBC predictor derived based on an IntraBC reference picture selected from a reference picture list, wherein the reference picture list includes the IntraBC reference picture containing one or more reconstructed IntraBC blocks and one or more Inter reference pictures corresponding to one or more reconstructed Inter-coded pictures; generating a first reconstructed current block after said encoding or decoding the current prediction unit; and updating the IntraBC reference picture according to the first reconstructed current block."
58,"A stored volumetric scene model of a real scene is generated from data defining digital images of a light field in a real scene containing different types of media. The digital images have been formed by a camera from opposingly directed poses and each digital image contains image data elements defined by stored data representing light field flux received by light sensing detectors in the camera. The digital images are processed by a scene reconstruction engine to form a digital volumetric scene model representing the real scene. The volumetric scene model (i) contains volumetric data elements defined by stored data representing one or more media characteristics and (ii) contains solid angle data elements defined by stored data representing the flux of the light field. Adjacent volumetric data elements form corridors, at least one of the volumetric data elements in at least one corridor represents media that is partially light transmissive. The constructed digital volumetric scene model data is stored in a digital data memory for subsequent uses and applications."
